,POS,BIB,ATHLETE,COUNTRY,MARK,RxnTime,Race,Round,Gender,Year
0,1.0,,Usain BOLT,JAMJAM,10.20 Q,0.18600000000000003,100 m,Heats,M,2008
1,2.0,,Daniel BAILEY,ANTANT,10.24 Q,0.198,100 m,Heats,M,2008
2,3.0,,Vicente DE LIMA,BRABRA,10.26 Q,0.168,100 m,Heats,M,2008
3,4.0,,Henry VIZCAÍNO,CUBCUB,10.28 q,0.157,100 m,Heats,M,2008
4,5.0,,Fabio CERUTTI,ITAITA,10.49,0.136,100 m,Heats,M,2008
5,6.0,,Jurgen THEMEN,SURSUR,10.61,0.179,100 m,Heats,M,2008
6,7.0,,Moses KAMUT,VANVAN,10.81,0.18100000000000002,100 m,Heats,M,2008
7,8.0,,Francis MANIORU,SOLSOL,11.09,0.19699999999999998,100 m,Heats,M,2008
8,1.0,,Asafa POWELL,JAMJAM,10.16 Q,0.142,100 m,Heats,M,2008
9,2.0,,Kim COLLINS,SKNSKN,10.17 Q,0.162,100 m,Heats,M,2008
10,3.0,,Craig PICKERING,GBRGBR,10.21 Q,0.174,100 m,Heats,M,2008
11,4.0,,Daniel GRUESO,COLCOL,10.35 q,0.17800000000000002,100 m,Heats,M,2008
12,5.0,,Dariusz KUC,POLPOL,10.44 q,0.14400000000000002,100 m,Heats,M,2008
13,6.0,,Berenger Aymard BOSSE,CAFCAF,10.51,0.14400000000000002,100 m,Heats,M,2008
14,7.0,,Aisea TOHI,TGATGA,11.17,0.159,100 m,Heats,M,2008
15,8.0,,Roman CRESS,MHLMHL,11.18,0.19,100 m,Heats,M,2008
16,1.0,,Richard THOMPSON,TTOTTO,10.24 Q,0.188,100 m,Heats,M,2008
17,2.0,,Martial MBANDJOCK,FRAFRA,10.26 Q,0.162,100 m,Heats,M,2008
18,3.0,,Simone COLLIO,ITAITA,10.32 Q,0.14,100 m,Heats,M,2008
19,4.0,,Aziz ZAKARI,GHAGHA,10.34 q,0.177,100 m,Heats,M,2008
20,5.0,,Andrew HINDS,BARBAR,10.35 q,0.14,100 m,Heats,M,2008
21,6.0,,Suryo Agung WIBOWO,INAINA,10.46,0.175,100 m,Heats,M,2008
22,7.0,,Jared LEWIS,VINVIN,11,0.12300000000000001,100 m,Heats,M,2008
23,8.0,,Rabangaki NAWAI,KIRKIR,11.29,0.152,100 m,Heats,M,2008
24,1.0,,Michael FRATER,JAMJAM,10.15 Q,0.156,100 m,Heats,M,2008
25,2.0,,Pierre BROWNE,CANCAN,10.22 Q,0.141,100 m,Heats,M,2008
26,3.0,,Darrel BROWN,TTOTTO,10.22 Q,0.139,100 m,Heats,M,2008
27,4.0,,Nobuharu ASAHARA,JPNJPN,10.25 q,0.16,100 m,Heats,M,2008
28,5.0,,Holder DA SILVA,GBSGBS,10.58,0.184,100 m,Heats,M,2008
29,6.0,,Idrissa SANOU,BURBUR,10.63,0.171,100 m,Heats,M,2008
30,7.0,,Ghyd Kermeliss OLONGHOT,CGOCGO,11.01,0.172,100 m,Heats,M,2008
31,8.0,,Massoud AZIZI,AFGAFG,11.45,0.16,100 m,Heats,M,2008
32,1.0,,Tyson GAY,USAUSA,10.22 Q,0.14800000000000002,100 m,Heats,M,2008
33,2.0,,Olusoji A. FASUBA,NGRNGR,10.29 Q,0.156,100 m,Heats,M,2008
34,3.0,,José Carlos MOREIRA,BRABRA,10.29 Q,0.192,100 m,Heats,M,2008
35,4.0,,Ángel David RODRÍGUEZ,ESPESP,10.34 q,0.145,100 m,Heats,M,2008
36,5.0,,Luká MILO,CZECZE,10.52,0.145,100 m,Heats,M,2008
37,6.0,,Mhadjou YOUSSOUF,COMCOM,10.62,0.17,100 m,Heats,M,2008
38,7.0,,Danny D'SOUZA,SEYSEY,11,0.18,100 m,Heats,M,2008
39,8.0,,Shanahan SANITOA,ASAASA,12.6,0.158,100 m,Heats,M,2008
40,1.0,,Tyrone EDGAR,GBRGBR,10.13 Q,0.138,100 m,Heats,M,2008
41,2.0,,Darvis PATTON,USAUSA,10.25 Q,0.149,100 m,Heats,M,2008
42,3.0,,Ronald POGNON,FRAFRA,10.26 Q,0.16699999999999998,100 m,Heats,M,2008
43,4.0,,Kai HU,CHNCHN,10.39 q,0.152,100 m,Heats,M,2008
44,5.0,,Abdullah AL-SOOLI,OMAOMA,10.53,0.153,100 m,Heats,M,2008
45,6.0,,Desislav GUNEV,BULBUL,10.66,0.152,100 m,Heats,M,2008
46,7.0,,Ali SHAREEF,MDVMDV,11.11,0.171,100 m,Heats,M,2008
